id,cords,weight
717294,55.746218;37.97097,2.15
717295,55.752283;37.887247,1.92
717296,55.899179;38.017934,1.71
717297,55.322624;38.676228,2.20
717298,55.99139;36.484994,2.47
717299,55.899179;38.017934,1.76
717300,55.724124;37.825155,1.91
717301,55.842433;37.548249,2.72
717302,55.852521;37.351914,2.00
717303,56.344312;37.517284,2.66
717304,55.636595;37.352228,1.50
717305,55.899179;38.017934,1.98
717306,55.995634;36.47417,2.44
717307,55.749638;38.011699,2.09
717308,55.842721;37.542491,2.54
717309,55.909055;38.056094,2.25
717310,54.910006;37.388268,4.22
717311,55.749638;38.011699,2.47
717312,55.745934;37.983869,2.01
717313,55.899179;38.017934,1.90
717314,55.899179;38.017934,1.90
717315,55.899179;38.017934,1.90
717316,55.899179;38.017934,1.90
717317,55.748518;37.813881,2.59
717318,54.885798;38.107388,3.60
717319,55.749638;38.011699,2.40
717320,55.701115;37.762129,2.64
717321,55.805498;37.414526,1.88
717322,55.645781;37.719414,2.37
717323,55.658358;37.839663,2.37
717324,55.759623;37.554466,2.37
717325,55.846598;37.559371,2.37
717326,55.656006;37.827904,2.37
717327,55.656006;37.827904,2.37
717328,55.751381;38.010361,2.37
717329,55.749638;38.011699,2.37
717330,55.850656;37.364562,3.01
717331,54.880158;38.070422,1.57
717332,55.913581;36.863491,3.66
717333,55.842721;37.542491,2.18
717334,54.833246;38.150552,2.06
717335,55.899179;38.017934,2.34
717336,55.723911;37.907602,11.74
717337,55.648407;37.38675,4.43
717338,55.816976;37.340056,2.38
717339,55.749638;38.011699,2.49
717340,55.599906;37.540847,1.92
717341,55.23635;37.52766,7.34
717342,55.899179;38.017934,2.21
717343,55.749638;38.011699,2.77
717344,55.816404;37.522513,6.50
717345,55.82135;37.370769,6.96
717346,55.899179;38.017934,1.80
717347,55.637886;37.677661,3628.39
717348,55.684473;37.685853,2.37
717349,55.128418;37.947883,11.32
717350,55.725691;37.997048,4.26
717351,55.899179;38.017934,1.94
717352,55.699451;37.774274,2.49
717353,55.635559;37.795565,3.89
717354,54.93614;37.393281,3.93
717355,55.655442;37.922245,2.79
717356,55.610931;37.592231,5.87
717357,55.817729;37.964753,5.58
717358,55.414348;37.587605,15.29
717359,55.53078;37.444521,11.09
717360,55.53078;37.444521,11.09
717361,56.32775;37.521956,4.13
717362,55.151214;37.416332,2.30
717363,55.751381;38.010361,2.64
717364,55.751381;38.010361,2.84
717365,55.673301;37.767097,2.21
717366,55.824496;37.971545,6.92
717367,55.749638;38.011699,2.69
717368,55.751381;38.010361,2.69
717369,55.852521;37.351914,3.00
717370,55.828329;37.352911,6.15
717371,55.636595;37.352228,18.06
717372,55.828455;37.809255,2.88
717373,55.943371;37.974401,3.09
717374,55.758392;37.834453,6.69
717375,55.7389;37.847316,12.92
717376,55.791597;37.489338,10.69
717377,54.889066;38.078201,5.92
717378,55.899179;38.017934,2.84
717379,55.633775;37.613476,6.25
717380,55.620972;37.440101,3.63
717381,55.84583;37.559721,3.64
717382,55.426477;37.501061,2.77
717383,54.889791;38.085819,8.59
717384,55.65014;37.407178,5.14
717385,54.840479;38.245728,5.35
717386,55.899179;38.017934,2.68
717387,55.897801;37.588386,0.01
717388,55.724124;37.825155,0.01
717389,55.747155;37.862139,0.01
717390,55.677438;37.664842,0.01
717391,55.84583;37.559721,0.01
717392,55.647534;37.595555,0.01
717393,55.949345;38.060136,6.50
717394,55.805498;37.414526,3.46
717395,55.721868;37.892529,16.53
717396,55.647534;37.595555,5.61
717397,55.803828;37.301258,3.05
717398,55.760515;37.855141,11.93
717399,55.210962;37.940382,21.02
717400,55.834785;37.271227,3.40
717401,55.730309;37.746094,7.20
717402,55.117715;37.950353,2.23
717403,55.749638;38.011699,3.84
717404,55.808058;37.505804,3.65
717405,55.78439;37.468802,3.95
717406,55.721843;37.898538,5.14
717407,55.905649;36.897734,6.48
717408,55.248914;38.76208,5.36
717409,55.751381;38.010361,4.99
717410,55.648407;37.38675,5.30
717411,55.460277;37.269727,10.64
717412,55.839173;37.530148,3.79
717413,55.53078;37.444521,22.02
717414,55.899179;38.017934,3.26
717415,55.751624;38.012274,3.77
717416,55.747485;37.581298,4.49
717417,55.834785;37.271227,3.90
717418,56.077458;35.988334,5.35
717419,55.752019;37.783383,9.27
717420,55.699451;37.774274,3.88
717421,55.729275;37.969119,8.69
717422,55.649825;37.770043,3.93
717423,55.631076;37.7987,16.80
717424,55.740162;37.858438,10.37
717425,55.677438;37.664842,2.40
717426,56.348422;37.524992,6.06
717427,55.671498;37.553792,14.33
717428,55.819014;37.347135,5.47
