id,cords,weight
717925,55.746796;37.986681,301.22
717926,55.746218;37.97097,185.30
717927,55.897387;37.680176,162.29
717928,56.0666;37.381244,194.63
717929,55.355602;37.184638,117.99
717930,56.379152;37.324847,163.17
717931,55.806611;37.466557,191.36
717932,55.927029;38.306553,198.66
717933,55.620972;37.440101,174.99
717934,55.672255;37.577238,610.37
717935,55.714029;37.37324,220.79
717936,55.969391;37.450674,213.04
717937,55.94024;36.714505,294.92
717938,55.75396;37.620393,420.21
717939,55.89769;38.037957,408.19
717940,55.90416;36.856933,281.60
717941,55.251906;38.759529,155.89
717942,55.903201;37.440883,711.84
717943,56.030759;35.511131,477.29
717944,55.785989;37.246164,196.09
717945,56.356143;37.527058,244.65
717946,55.677438;37.664842,329.91
717947,55.80656;38.04844,274.49
717948,55.805938;37.322646,474.05
717949,55.993671;36.473891,623.74
717950,55.914428;36.874091,239.24
717951,55.809469;37.464571,210.71
717952,55.80656;38.04844,327.80
717953,55.983751;36.796683,208.99
717954,56.029119;35.505274,372.50
717955,55.77676;37.901413,310.87
717956,55.840073;37.486248,286.30
717957,55.785989;37.246164,220.48
717958,55.821846;37.336966,503.72
717959,55.785989;37.246164,458.36
717960,55.84583;37.559721,460.14
717961,55.60072;37.344628,434.18
717962,55.728961;37.967053,534.51
717963,55.897387;37.680176,752.36
717964,55.610311;37.70991,699.40
717965,55.897387;37.680176,310.44
717966,55.649825;37.770043,425.74
717967,55.860332;37.121379,323.44
717968,55.690511;37.875613,356.13
717969,55.993671;36.473891,354.91
717970,55.7419;37.4997,306.34
717971,55.83519;37.274191,565.97
717972,55.714029;37.37324,780.23
717973,55.586822;37.724804,331.12
717974,55.897801;37.588386,371.83
717975,55.785989;37.246164,323.71
717976,55.87096;37.591153,359.35
717977,55.785989;37.246164,295.99
717978,55.899179;38.017934,381.84
717979,55.864833;37.12817,351.90
717980,55.685411;37.568587,1239.99
717981,55.637439;37.762399,401.08
717982,55.8611;37.585547,1059.82
717983,56.056553;37.4061,322.24
717984,55.873663;36.847213,601.66
717985,55.815382;37.967188,434.62
717986,56.348442;37.530346,414.03
717987,55.613677;37.580984,420.52
717988,55.743928;37.874464,394.54
717989,55.565712;37.444126,526.12
717990,54.919047;37.425234,411.99
717991,55.918731;37.761626,453.15
717992,55.81215;38.967075,433.61
717993,55.922172;37.849454,449.67
717994,55.893985;37.525091,464.61
717995,55.620972;37.440101,263.46
717996,55.85433;36.790152,395.33
717997,55.574325;37.908213,481.82
717998,55.587794;37.903677,439.01
717999,55.74263;37.709515,371.12
718000,55.818882;37.827706,501.23
718001,55.85433;36.790152,1224.66
718002,55.913692;36.867003,563.20
718003,55.798161;38.465564,491.19
718004,55.082781;38.801067,483.50
718005,55.879556;37.522719,544.61
718006,55.77117;38.445235,540.15
718007,55.87644;37.512505,486.90
718008,55.76406;37.487371,530.37
718009,55.814361;37.085662,965.93
718010,55.708354;37.652705,541.92
718011,55.816283;37.81106,534.09
718012,55.802968;37.765067,509.66
718013,55.628307;37.675891,539.77
718014,55.863606;37.593021,545.04
718015,56.002979;37.205776,519.26
718016,55.879985;37.532628,592.06
718017,55.700009;37.768597,562.16
718018,55.852996;37.34558,542.26
718019,55.771894;37.83271,556.15
718020,55.589163;38.210901,585.16
718021,55.981424;37.184297,556.33
718022,55.799047;38.976607,586.75
718023,55.414348;37.587605,316.58
718024,55.628444;37.857872,558.67
718025,55.784805;37.471354,569.76
718026,55.823975;37.819073,605.59
718027,55.773565;38.652791,611.97
718028,55.817122;37.310232,574.10
718029,55.848685;37.440775,585.18
718030,55.872506;37.636985,590.81
718031,55.919549;37.975057,590.39
718032,55.65366;37.614365,579.14
718033,55.635559;37.795565,629.24
718034,55.783833;38.439468,634.68
718035,55.647452;37.723313,629.42
718036,55.873784;37.521623,636.26
718037,55.384257;39.033964,624.98
718038,55.767494;37.856327,600.51
718039,55.861954;37.687713,629.48
718040,55.821194;37.938334,613.88
718041,55.870127;37.634029,675.34
718042,56.326497;38.133412,630.23
718043,55.772861;37.710287,647.64
718044,55.605775;38.098405,604.28
718045,55.607331;37.733742,667.93
718046,55.707684;37.78801,640.48
718047,55.764769;37.701304,631.46
718048,55.768036;37.730697,640.74
718049,55.73737;37.828937,676.88
718050,55.903312;37.710386,628.38
718051,55.814512;37.736851,649.04
718052,55.702581;37.466655,689.96
718053,55.863752;37.544665,726.81
718054,55.803848;37.606083,3543.62
718055,55.80656;38.04844,530.05
718056,55.618186;37.59136,677.83
718057,55.617297;37.752445,719.94
718058,55.325544;38.658432,723.90
718059,55.672478;37.285052,679.05
718060,55.70002;37.844783,703.31
718061,55.957555;38.052617,747.01
718062,55.897685;37.602867,676.99
718063,55.932455;37.84163,742.67
718064,55.811523;37.572324,700.57
718065,55.699558;37.736024,748.30
718066,55.800468;37.396129,707.26
718067,55.596961;37.58879,718.31
718068,55.756457;37.788648,724.99
718069,55.88721;37.419018,691.29
718070,55.568084;37.569063,738.55
718071,56.186609;36.980676,756.39
718072,55.897387;37.680176,562.50
718073,55.995523;37.190666,745.26
718074,55.677925;37.748583,751.00
718075,55.745215;37.776278,704.31
718076,55.792979;37.971661,790.06
718077,55.797402;37.720447,693.65
718078,55.890765;37.44647,757.11
718079,55.714029;37.37324,536.47
718080,55.767038;37.830257,780.09
718081,55.759598;37.795771,770.83
718082,55.721011;37.40045,796.33
718083,55.85487;38.439504,776.92
718084,55.703155;37.672792,752.03
718085,55.742271;38.015724,762.32
718086,55.751513;37.955078,813.02
718087,55.568558;37.585386,779.99
718088,55.832889;37.662228,799.26
718089,55.827044;37.971482,825.54
718090,55.900844;38.0609,827.30
718091,55.985191;37.152703,829.59
718092,55.673367;37.594998,815.06
718093,55.686168;37.535826,857.33
718094,55.935607;37.51918,831.89
718095,55.599199;38.089538,832.57
718096,55.683894;37.723178,826.56
718097,55.690141;37.602005,838.19
718098,55.559074;38.254514,866.80
718099,55.850712;37.430768,846.86
718100,55.80694;37.516925,868.52
718101,55.61813;37.507484,939.91
718102,55.751315;37.869846,888.70
718103,55.69625;37.902015,891.35
718104,55.854805;37.650918,862.58
718105,55.758514;37.856857,867.04
718106,55.683123;37.680966,858.01
718107,55.785989;37.246164,706.08
718108,56.327725;36.72409,841.65
718109,55.662288;37.911842,889.85
718110,55.914025;37.496938,678.12
718111,55.862969;37.434918,888.83
718112,55.983262;37.49462,899.92
718113,55.925606;37.996796,904.89
718114,55.426549;37.504439,921.08
718115,55.416596;37.83536,940.33
718116,55.757668;37.7138,902.37
718117,55.723232;37.609784,882.09
718118,55.822281;37.516916,903.71
718119,55.797387;37.486661,914.91
718120,55.681097;37.895296,936.02
718121,55.706284;37.765372,924.57
718122,55.899179;38.017934,1134.08
718123,55.753063;37.797756,975.56
718124,55.652949;37.39568,965.54
718125,55.847796;37.360115,1202.17
718126,55.751786;38.007315,1006.09
718127,55.686497;37.855096,998.94
718128,55.800352;37.935163,998.83
718129,55.785989;37.246164,1016.27
718130,56.343698;37.516934,1046.52
718131,55.804369;37.535646,1003.80
718132,55.709155;37.595321,1002.89
718133,55.30767;37.517868,1057.05
718134,55.860681;37.495105,1094.21
718135,55.632901;37.519863,1114.59
718136,55.676286;37.770349,1099.81
718137,56.01235;37.482053,1078.12
718138,55.793551;37.803991,1166.37
718139,55.861802;37.562955,1174.56
718140,55.677539;37.280569,1222.53
718141,55.897387;37.680176,1126.13
718142,55.74263;37.709515,1219.90
718143,55.74263;37.709515,1450.64
718144,55.394827;37.810126,1530.44
718145,55.641951;37.345419,1547.28
718146,55.785989;37.246164,4505.04
718147,55.697346;37.723079,5087.00
718148,55.74263;37.709515,1637.76
718149,55.74263;37.709515,1596.03
718150,55.59367;37.657143,3283.78
718151,55.785989;37.246164,1957.21
718152,55.445676;37.626026,8066.51
718153,55.74263;37.709515,2377.53
718154,55.85433;36.790152,2026.93
718155,55.74263;37.709515,2594.22
718156,56.121857;37.216097,7250.59
718157,55.74263;37.709515,2873.63
718158,55.818549;37.797047,8155.59
718159,55.151513;37.935055,22665.47
718160,55.819727;37.59551,6087.00
718161,55.129098;37.54648,29665.34
718162,54.713429;39.501672,8129.29
718163,55.394827;37.810126,8341.66
718164,55.129098;37.54648,40306.51
718165,55.129098;37.54648,42252.01
718166,55.819727;37.59551,17274.68
718167,55.74263;37.709515,23008.31
718168,55.394827;37.810126,31375.28
718169,55.969391;37.450674,0.00
718170,55.969391;37.450674,0.00
718171,55.969391;37.450674,0.00
718172,55.74263;37.709515,0.00
